"","symbol","date","open","close"
"4453","ETH","2016-11-15",9.97,10.22
"4454","ETH","2016-11-16",10.22,10.06
"4455","ETH","2016-11-17",10.06,9.99
"4456","ETH","2016-11-18",9.99,9.48
"4457","ETH","2016-11-19",9.48,9.66
"4458","ETH","2016-11-20",9.66,9.58
"4459","ETH","2016-11-21",9.58,9.62
"4460","ETH","2016-11-22",9.63,9.91
"4461","ETH","2016-11-23",9.92,9.84
"4462","ETH","2016-11-24",9.85,9.23
"4463","ETH","2016-11-25",9.23,9.4
"4464","ETH","2016-11-26",9.42,9.33
"4465","ETH","2016-11-27",9.31,9
"4466","ETH","2016-11-28",9,8.72
"4467","ETH","2016-11-29",8.73,8.17
"4468","ETH","2016-11-30",8.16,8.59
"4469","ETH","2016-12-01",8.6,8.45
"4470","ETH","2016-12-02",8.46,7.76
"4471","ETH","2016-12-03",7.77,7.92
"4472","ETH","2016-12-04",7.9,7.44
"4473","ETH","2016-12-05",7.41,6.82
"4474","ETH","2016-12-06",6.8,7.87
"4475","ETH","2016-12-07",7.89,8.38
"4476","ETH","2016-12-08",8.38,8.23
"4477","ETH","2016-12-09",8.17,8.45
"4478","ETH","2016-12-10",8.44,8.13
"4479","ETH","2016-12-11",8.13,8.19
"4480","ETH","2016-12-12",8.19,8.52
"4481","ETH","2016-12-13",8.52,8.42
"4482","ETH","2016-12-14",8.45,8.27
"4483","ETH","2016-12-15",8.24,7.83
"4484","ETH","2016-12-16",7.86,7.86
"4485","ETH","2016-12-17",7.86,7.88
"4486","ETH","2016-12-18",7.86,7.87
"4487","ETH","2016-12-19",7.87,7.64
"4488","ETH","2016-12-20",7.63,7.66
"4489","ETH","2016-12-21",7.66,7.91
"4490","ETH","2016-12-22",7.9,7.59
"4491","ETH","2016-12-23",7.58,7.17
"4492","ETH","2016-12-24",7.15,7.27
"4493","ETH","2016-12-25",7.26,7.18
"4494","ETH","2016-12-26",7.13,7.27
"4495","ETH","2016-12-27",7.28,7.17
"4496","ETH","2016-12-28",7.15,7.52
"4497","ETH","2016-12-29",7.54,8.28
"4498","ETH","2016-12-30",8.29,8.16
"4499","ETH","2016-12-31",8.15,7.97
"4500","ETH","2017-01-01",7.98,8.17
